state,value
Massachusetts,19545
Hawaii,19094
Washington,18947
Connecticut,18740
California,15427
New York,13458
Utah,11994
Rhode Island,11631
Maryland,10248
Nevada,9991
South Dakota,9526
Virginia,9208
Illinois,8726
Iowa,7637
Oregon,6825
New Hampshire,6567
Colorado,6465
South Carolina,6162
Nebraska,5993
Kansas,5744
Delaware,5454
Vermont,5376
New Jersey,5130
Mississippi,5021
Wyoming,4809
Oklahoma,4739
Kentucky,4568
West Virginia,4424
Arkansas,4312
Michigan,4193
Pennsylvania,3944
Georgia,3815
Maine,3690
Montana,3468
Arizona,3298
Minnesota,3068
Tennessee,2909
Indiana,2859
Ohio,2774
Wisconsin,2670
Texas,2613
Idaho,2496
North Carolina,2426
Florida,2187
Florida,2090
New Mexico,2028
Alabama,1951
Louisiana,1232
